Date,Close,Volume,Open,High,Low
08/26/2022,$121.75,3381384,$125.50,$126.17,$120.97
08/29/2022,$121.69,2360859,$119.61,$123.945,$118.13
08/30/2022,$122.31,6042679,$125.00,$130.25,$120.28
08/31/2022,$127.55,6105228,$124.97,$129.89,$124.09
09/01/2022,$127.84,3850543,$124.53,$128.9844,$123.73
09/02/2022,$126.41,3127186,$129.74,$130.95,$124.01
09/06/2022,$127.60,3036920,$126.20,$129.73,$124.1703
09/07/2022,$134.80,4356568,$127.18,$135.20,$125.57
09/08/2022,$137.53,5436729,$137.41,$139.9094,$134.38
09/09/2022,$135.82,3627324,$138.09,$138.41,$133.41
09/12/2022,$136.79,2250585,$134.62,$137.07,$132.66
09/13/2022,$136.76,3497575,$132.00,$140.14,$131.56
09/14/2022,$135.76,2676599,$136.21,$136.49,$133.39
09/15/2022,$132.02,2510216,$134.62,$135.60,$131.14
09/16/2022,$135.81,4924614,$130.81,$136.45,$130.20
09/19/2022,$137.04,2163221,$135.12,$138.00,$134.52
09/20/2022,$133.31,1945593,$136.48,$137.96,$133.11
09/21/2022,$135.57,3108132,$134.53,$140.64,$132.39
09/22/2022,$131.77,2517014,$135.58,$136.30,$129.555
09/23/2022,$129.85,3679685,$128.68,$130.949,$127.07
09/26/2022,$128.21,2681225,$129.90,$133.00,$127.60
09/27/2022,$132.31,2809980,$131.47,$135.81,$129.80
09/28/2022,$136.19,2936527,$131.07,$136.69,$129.0812
09/29/2022,$130.93,2521308,$136.47,$138.19,$129.23
09/30/2022,$132.27,3453981,$129.90,$136.20,$129.72
10/03/2022,$136.62,3266384,$132.70,$137.74,$131.34
10/04/2022,$143.06,4545098,$140.11,$145.74,$140.11
10/05/2022,$134.59,3843906,$141.17,$142.63,$132.54
10/06/2022,$132.06,2834653,$134.46,$138.26,$131.85
10/07/2022,$129.42,4238023,$129.735,$133.79,$127.92
10/10/2022,$131.06,2614200,$128.50,$131.58,$125.17
10/11/2022,$131.32,3052050,$128.80,$132.50,$125.35
10/12/2022,$126.88,2867666,$131.40,$131.85,$125.81
10/13/2022,$126.54,3090312,$121.21,$128.56,$120.46
10/14/2022,$123.36,2056051,$127.60,$129.42,$123.18
10/17/2022,$118.28,4176907,$125.68,$125.8904,$115.66
10/18/2022,$121.31,2700421,$121.64,$122.89,$118.35
10/19/2022,$120.21,2223900,$120.30,$120.42,$116.76
10/20/2022,$118.72,2163977,$120.27,$121.86,$116.47
10/21/2022,$122.60,3619276,$118.32,$124.24,$116.77
10/24/2022,$124.57,1726349,$123.15,$125.86,$120.1723
10/25/2022,$127.145,2046502,$124.62,$128.66,$124.605
10/26/2022,$131.40,2940536,$130.33,$133.74,$128.86
10/27/2022,$131.18,3135891,$131.73,$133.42,$128.69
10/28/2022,$132.67,5669919,$131.15,$138.71,$127.55
10/31/2022,$145.57,7117027,$133.98,$148.1992,$133.00
11/01/2022,$148.57,3621561,$148.00,$149.56,$143.38
11/02/2022,$150.07,3606959,$148.37,$154.75,$147.50
11/03/2022,$157.73,3502433,$149.27,$158.4799,$149.06
11/04/2022,$153.62,3261883,$160.228,$161.64,$149.11
11/07/2022,$147.25,2622905,$154.83,$155.28,$144.271
11/08/2022,$147.265,2639030,$149.07,$152.19,$146.27
11/09/2022,$151.16,2769214,$146.79,$155.889,$146.258
11/10/2022,$157.02,3816388,$155.08,$160.54,$149.2096
11/11/2022,$150.42,2531957,$155.32,$157.6789,$150.08
11/14/2022,$153.63,1815526,$151.39,$155.85,$147.75
11/15/2022,$159.63,2041308,$160.13,$160.56,$154.60
11/16/2022,$158.58,1808482,$157.44,$162.5299,$157.01
11/17/2022,$164.98,2584512,$156.50,$165.12,$154.83
11/18/2022,$166.60,2140741,$165.305,$167.58,$161.90
11/21/2022,$165.39,1435932,$165.70,$167.59,$163.46
11/22/2022,$167.66,1684914,$166.37,$168.17,$163.7362
11/23/2022,$169.47,1645753,$167.89,$170.52,$166.68
11/25/2022,$171.43,1116948,$169.02,$173.21,$167.31
11/28/2022,$165.62,3488693,$167.51,$170.60,$163.68
11/29/2022,$161.81,2256849,$165.43,$167.79,$160.91
11/30/2022,$172.53,8693353,$163.02,$173.68,$163.02
12/01/2022,$168.54,2123310,$172.56,$173.63,$166.48
12/02/2022,$168.32,2802768,$168.49,$173.60,$167.57
12/05/2022,$167.14,1851071,$168.00,$169.8099,$165.32
12/06/2022,$157.47,3334662,$162.63,$166.26,$156.74
12/07/2022,$154.74,2162407,$156.51,$158.9542,$153.265
12/08/2022,$152.71,1483925,$156.22,$157.2399,$151.82
12/09/2022,$150.96,1851370,$151.24,$154.71,$149.86
12/12/2022,$150.28,1769906,$149.77,$153.76,$148.5603
12/13/2022,$157.08,3214096,$152.89,$158.99,$150.8501
12/14/2022,$160.09,2727050,$157.89,$162.50,$155.37
12/15/2022,$159.41,2745861,$158.50,$162.19,$156.90
12/16/2022,$155.08,22634790,$158.69,$160.74,$152.555
12/19/2022,$156.77,2856054,$155.98,$161.73,$154.51
12/20/2022,$156.59,2185333,$156.81,$161.38,$154.0415
12/21/2022,$162.06,2532281,$157.03,$162.20,$150.2471
12/22/2022,$156.89,2095723,$160.98,$161.62,$154.54
12/23/2022,$156.75,1027956,$157.98,$157.98,$153.115
12/27/2022,$150.22,1955072,$156.33,$157.76,$150.01
12/28/2022,$146.17,2773152,$150.00,$150.4799,$142.35
12/29/2022,$148.78,1447688,$148.37,$149.6448,$144.74
12/30/2022,$149.79,1438937,$146.88,$149.90,$145.635
01/03/2023,$145.94,1902425,$151.01,$152.45,$144.73
01/04/2023,$146.78,2137731,$146.65,$147.8096,$145.0001
01/05/2023,$145.46,1868511,$145.60,$147.02,$141.81
01/06/2023,$156.80,2868331,$148.195,$157.16,$147.50
01/09/2023,$159.17,2418343,$157.55,$162.3499,$155.14
01/10/2023,$171.01,3671063,$159.60,$171.50,$158.29
01/11/2023,$172.41,3773142,$170.46,$177.604,$170.29
01/12/2023,$178.85,2835415,$173.10,$179.28,$171.70
01/13/2023,$180.19,1934593,$177.72,$182.58,$176.75
01/17/2023,$177.60,2559698,$181.00,$185.28,$176.43
01/18/2023,$177.57,2089790,$178.63,$180.88,$172.8401
01/19/2023,$165.01,3193621,$175.295,$176.17,$164.19
01/20/2023,$167.87,2777239,$165.78,$168.43,$162.74
01/23/2023,$176.21,2372949,$168.335,$177.395,$166.50
01/24/2023,$171.485,1677608,$174.31,$175.49,$170.325
01/25/2023,$168.26,1699478,$167.86,$169.72,$163.82
01/26/2023,$175.43,2093727,$170.20,$177.09,$168.00
01/27/2023,$179.35,1730088,$173.19,$180.78,$172.385
01/30/2023,$170.78,1496286,$177.39,$179.00,$170.14
01/31/2023,$177.60,1504833,$171.18,$177.61,$170.34
02/01/2023,$180.15,1929375,$177.40,$182.35,$175.02
02/02/2023,$168.67,3320723,$177.76,$181.56,$167.60
02/03/2023,$168.19,1752792,$165.92,$168.86,$165.105
02/06/2023,$167.47,1113328,$167.39,$170.79,$166.10
02/07/2023,$165.89,1600528,$168.38,$168.39,$161.15
02/08/2023,$165.58,1549323,$168.12,$171.71,$164.88
02/09/2023,$163.94,1564453,$167.75,$168.91,$161.83
02/10/2023,$163.38,1365683,$162.62,$167.43,$161.21
02/13/2023,$167.26,1333354,$165.80,$169.39,$164.28
02/14/2023,$165.04,2263293,$161.98,$165.36,$157.00
02/15/2023,$172.36,1759877,$165.00,$172.78,$164.19
02/16/2023,$165.01,1415359,$169.87,$171.78,$164.925
02/17/2023,$164.28,1129634,$164.08,$166.99,$162.62
02/21/2023,$160.99,1216703,$162.21,$164.98,$160.67
02/22/2023,$163.61,1214902,$161.38,$163.91,$159.60
02/23/2023,$165.58,1077776,$166.52,$168.11,$162.10
02/24/2023,$162.16,1138960,$162.99,$164.452,$160.8901
02/27/2023,$166.11,1428413,$163.45,$166.84,$162.23
02/28/2023,$169.14,3482925,$166.24,$169.77,$164.38
03/01/2023,$195.68,15214460,$180.55,$196.90,$177.29
03/02/2023,$198.22,4469165,$195.73,$199.35,$192.68
03/03/2023,$210.11,6610161,$200.11,$211.47,$198.7361
03/06/2023,$212.30,4552836,$211.69,$216.19,$208.21
03/07/2023,$214.29,3526073,$212.50,$217.76,$211.00
03/08/2023,$214.33,2544198,$215.30,$216.1618,$210.25
03/09/2023,$211.25,2613631,$214.65,$218.25,$210.54
03/10/2023,$207.73,2552142,$210.33,$213.5899,$205.78
03/13/2023,$203.58,3134242,$204.60,$209.23,$201.78
03/14/2023,$207.29,2006959,$207.72,$210.795,$204.23
03/15/2023,$203.22,2756915,$203.69,$207.34,$198.60
03/16/2023,$206.56,2069217,$202.40,$206.67,$199.37
03/17/2023,$199.62,5704354,$205.69,$205.69,$195.3231
03/20/2023,$204.68,2945680,$200.69,$205.42,$196.69
03/21/2023,$209.25,1994350,$208.60,$211.1763,$205.97
03/22/2023,$205.01,1484622,$209.64,$211.51,$204.84
03/23/2023,$210.19,2415927,$208.31,$218.1999,$207.7891
03/24/2023,$211.10,1623438,$208.03,$212.04,$207.07
03/27/2023,$210.14,1284661,$212.77,$213.73,$207.50
03/28/2023,$210.01,1052178,$210.79,$212.15,$208.79
03/29/2023,$215.35,1619695,$212.155,$215.99,$206.62
03/30/2023,$213.32,1542203,$218.63,$219.55,$212.54
03/31/2023,$217.50,1289975,$213.54,$218.05,$213.54
04/03/2023,$208.49,2205684,$217.28,$218.52,$207.65
04/04/2023,$208.14,1158389,$207.32,$209.47,$205.79
04/05/2023,$201.61,1707476,$207.53,$209.025,$199.81
04/06/2023,$204.51,1484278,$201.08,$204.64,$199.86
04/10/2023,$212.03,1380780,$202.99,$212.22,$202.99
